p,kappa_p,alpha_p,excess,f(p),Q(f(p))
2,2,3,3,1,[]
3,w,2,0,2,[2]
5,w**w,4,0,4,[4]
7,w**w**2,w + 1,1,3,[3]
11,w**w**3,w**w + 1,1,10,[5]
13,w**w**4,w + 4,0,12,"[3, 4]"
17,w**w**5,16,0,8,[8]
19,w**w**6,w**3 + 4,4,18,[9]
23,w**w**7,w**w**3 + 1,1,11,[11]
29,w**w**8,w**w**2 + 4,0,28,"[7, 4]"
31,w**w**9,w**w + 1,1,5,[5]
37,w**w**10,w**3 + 4,0,36,"[9, 4]"
41,w**w**11,w**w + 1,1,20,[5]
43,w**w**12,w**w**2 + 1,1,14,[7]
47,w**w**13,w**w**7 + 1,1,23,[23]
53,w**w**14,w**w**4 + 1,1,52,[13]
59,w**w**15,w**w**8 + 1,1,58,[29]
61,w**w**16,w**w + w,0,60,"[5, 3]"
67,w**w**17,w**w**3 + w,0,66,"[11, 3]"
71,w**w**18,w**w**2 + w**w,0,35,"[7, 5]"
73,w**w**19,w**3 + 1,1,9,[9]
79,w**w**20,w**w**4 + 1,1,39,[13]
83,w**w**21,w**w**11 + 1,1,82,[41]
89,w**w**22,w**w**3 + 1,1,11,[11]
97,w**w**23,w + 256,0,48,"[3, 16]"
101,w**w**24,w**(w*5) + 1,1,100,[25]
103,w**w**25,w**w**5 + w,0,51,"[17, 3]"
