kappa_p,alpha_p,excess,f(p),Q(f(p)),identity_p
2,3,3,1,[],$\left[2\right]^{2}=3$
w,2,0,2,[2],$\left[\omega\right]^{3}=2$
w**w,4,0,4,[4],$\left[\omega^{\omega}\right]^{5}=4$
w**w**2,w + 1,1,3,[3],$\left[\omega^{\omega^{2}}\right]^{7}=\omega+1$
w**w**3,w**w + 1,1,10,[5],$\left[\omega^{\omega^{3}}\right]^{11}=\omega^{\omega}+1$
w**w**4,w + 4,0,12,"[3, 4]",$\left[\omega^{\omega^{4}}\right]^{13}=\omega+4$
w**w**5,16,0,8,[8],$\left[\omega^{\omega^{5}}\right]^{17}=16$
w**w**6,w**3 + 4,4,18,[9],$\left[\omega^{\omega^{6}}\right]^{19}=\omega^{3}+4$
w**w**7,w**w**3 + 1,1,11,[11],$\left[\omega^{\omega^{7}}\right]^{23}=\omega^{\omega^{3}}+1$
w**w**8,w**w**2 + 4,0,28,"[7, 4]",$\left[\omega^{\omega^{8}}\right]^{29}=\omega^{\omega^{2}}+4$
w**w**9,w**w + 1,1,5,[5],$\left[\omega^{\omega^{9}}\right]^{31}=\omega^{\omega}+1$
w**w**10,w**3 + 4,0,36,"[9, 4]",$\left[\omega^{\omega^{10}}\right]^{37}=\omega^{3}+4$
w**w**11,w**w + 1,1,20,[5],$\left[\omega^{\omega^{11}}\right]^{41}=\omega^{\omega}+1$
w**w**12,w**w**2 + 1,1,14,[7],$\left[\omega^{\omega^{12}}\right]^{43}=\omega^{\omega^{2}}+1$
w**w**13,w**w**7 + 1,1,23,[23],$\left[\omega^{\omega^{13}}\right]^{47}=\omega^{\omega^{7}}+1$
w**w**14,w**w**4 + 1,1,52,[13],$\left[\omega^{\omega^{14}}\right]^{53}=\omega^{\omega^{4}}+1$
w**w**15,w**w**8 + 1,1,58,[29],$\left[\omega^{\omega^{15}}\right]^{59}=\omega^{\omega^{8}}+1$
w**w**16,w**w + w,0,60,"[5, 3]",$\left[\omega^{\omega^{16}}\right]^{61}=\omega^{\omega}+\omega$
w**w**17,w**w**3 + w,0,66,"[11, 3]",$\left[\omega^{\omega^{17}}\right]^{67}=\omega^{\omega^{3}}+\omega$
w**w**18,w**w**2 + w**w,0,35,"[7, 5]",$\left[\omega^{\omega^{18}}\right]^{71}=\omega^{\omega^{2}}+\omega^{\omega}$
