p,kappa_p,alpha_P,excess,f(p),Q(f(p)),compute_sec
2,2,3,3,1,[],0.0
3,w,2,0,2,[2],0.0
5,w**w,4,0,4,[4],0.0
2,2,3,3,1,[],0.0
3,w,2,0,2,[2],0.0
5,w**w,4,0,4,[4],0.0
7,w**w**2,w + 1,1,3,[3],0.0009982585906982422
11,w**w**3,w**w + 1,1,10,[5],0.013999700546264648
13,w**w**4,w + 4,0,12,"[3, 4]",0.004998922348022461
17,w**w**5,16,0,8,[8],0.0006995201110839844
19,w**w**6,w**3 + 4,4,18,[9],0.01799798011779785
23,w**w**7,w**w**3 + 1,1,11,[11],35.80580282211304
29,w**w**8,w**w**2 + 4,0,28,"[7, 4]",1.572199821472168
31,w**w**9,w**w + 1,1,5,[5],0.006998300552368164
37,w**w**10,w**3 + 4,0,36,"[9, 4]",0.04399919509887695
41,w**w**11,w**w + 1,1,20,[5],0.01399850845336914
43,w**w**12,w**w**2 + 1,1,14,[7],0.4976990222930908
